train/n_updates,train/value_loss,train/learning_rate,train/policy_loss,train/entropy_loss,train/std,time/fps,time/iterations,train/explained_variance,train/reward,time/time_elapsed,time/total_timesteps
99,1.0911803245544434,0.0007,38.41501998901367,-41.24053955078125,1.0032092332839966,64,100,0.28157955408096313,0.11025473,7,500
199,2.5614144802093506,0.0007,-55.38380813598633,-41.24775695800781,1.0034687519073486,76,200,-1.1920928955078125e-07,-1.3854662,13,1000
299,70.1336898803711,0.0007,-338.7824401855469,-41.27260971069336,1.004356026649475,81,300,0.004199326038360596,3.391866,18,1500
399,4.109761714935303,0.0007,-70.66316223144531,-41.272254943847656,1.0041496753692627,86,400,5.960464477539063e-08,6.332755,23,2000
499,103.57137298583984,0.0007,379.774658203125,-41.28919219970703,1.0051108598709106,87,500,-1.1920928955078125e-07,-4.429727,28,2500
599,22.74735450744629,0.0007,192.66941833496094,-41.29334259033203,1.0050588846206665,88,600,-0.001714468002319336,0.087448716,33,3000
699,2.7782986164093018,0.0007,-65.81371307373047,-41.28968048095703,1.0049688816070557,89,700,0.0,-2.7318516,39,3500
799,12.099332809448242,0.0007,-121.77827453613281,-41.33368682861328,1.0063776969909668,89,800,1.1920928955078125e-07,-3.5182903,44,4000
899,4.531740188598633,0.0007,81.22505187988281,-41.366268157958984,1.0076574087142944,89,900,-1.1920928955078125e-07,-0.7624608,50,4500
999,5.307569980621338,0.0007,90.173095703125,-41.3851203918457,1.0083050727844238,90,1000,0.0,-0.76001424,55,5000
1099,8.799323081970215,0.0007,-98.16732025146484,-41.3775520324707,1.0079556703567505,91,1100,0.0,0.8892505,60,5500
1199,3.879650115966797,0.0007,-72.1610336303711,-41.40997314453125,1.0091273784637451,92,1200,-0.053612470626831055,0.26658863,64,6000
1299,1.0291765928268433,0.0007,-1.81158447265625,-41.458187103271484,1.0108588933944702,93,1300,0.021741747856140137,-2.2109706,69,6500
1399,12.644904136657715,0.0007,130.07652282714844,-41.476043701171875,1.0114980936050415,94,1400,5.960464477539063e-08,0.8835194,74,7000
1499,45.09361267089844,0.0007,-186.15969848632812,-41.4705924987793,1.011338710784912,94,1500,0.0,1.2555037,79,7500
1599,36.97578048706055,0.0007,250.9524383544922,-41.51780700683594,1.0130325555801392,95,1600,0.0,0.24808238,83,8000
1699,7.658008098602295,0.0007,-19.46074867248535,-41.51118469238281,1.012711763381958,96,1700,0.0,7.7073183,88,8500
1799,0.8688730597496033,0.0007,-30.66425895690918,-41.495704650878906,1.0122593641281128,96,1800,0.0005185604095458984,0.51203763,93,9000
1899,1.6341427564620972,0.0007,44.0306282043457,-41.54316711425781,1.013884425163269,97,1900,-1.1920928955078125e-07,0.041149914,97,9500
1999,0.256274551153183,0.0007,10.64323616027832,-41.629150390625,1.01712965965271,97,2000,1.1920928955078125e-07,0.7703739,102,10000
2099,2.1034352779388428,0.0007,32.76887130737305,-41.63482666015625,1.0172374248504639,98,2100,0.0,0.6852897,106,10500
2199,6.559605598449707,0.0007,-32.5098762512207,-41.63039779663086,1.017059564590454,98,2200,-1.1920928955078125e-07,-7.1390004,111,11000
2299,3197.04345703125,0.0007,-2367.141357421875,-41.631080627441406,1.0168761014938354,99,2300,0.0,-10.550006,115,11500
2399,6.680726051330566,0.0007,67.47203063964844,-41.634151458740234,1.0172150135040283,99,2400,0.02836841344833374,0.3746248,120,12000
